alg time busca
BuscaBinaria: 364 5500
BuscaBinaria: 106 1
BuscaBinaria: 410 5600
BuscaBinaria: 144 1
BuscaBinaria: 375 5700
BuscaBinaria: 148 1
BuscaBinaria: 384 5800
BuscaBinaria: 111 1
BuscaBinaria: 379 5900
BuscaBinaria: 86 1
BuscaBinaria: 363 6000
BuscaBinaria: 122 1
BuscaBinaria: 412 6100
BuscaBinaria: 101 1
BuscaBinaria: 377 6200
BuscaBinaria: 86 1
BuscaBinaria: 340 6300
BuscaBinaria: 100 1
BuscaBinaria: 352 6400
BuscaBinaria: 94 1
BuscaBinaria: 353 6500
BuscaBinaria: 106 1
BuscaBinaria: 330 6600
BuscaBinaria: 134 1
BuscaBinaria: 568 6700
BuscaBinaria: 95 1
BuscaBinaria: 336 6800
BuscaBinaria: 103 1
BuscaBinaria: 332 6900
BuscaBinaria: 120 1
BuscaBinaria: 320 7000
BuscaBinaria: 119 1
BuscaBinaria: 353 7100
BuscaBinaria: 97 1
BuscaBinaria: 312 7200
BuscaBinaria: 104 1
BuscaBinaria: 346 7300
BuscaBinaria: 123 1
BuscaBinaria: 348 7400
BuscaBinaria: 125 1
BuscaBinaria: 328 7500
BuscaBinaria: 87 1
BuscaBinaria: 321 7600
BuscaBinaria: 103 1
BuscaBinaria: 354 7700
BuscaBinaria: 106 1
BuscaBinaria: 341 7800
BuscaBinaria: 110 1
BuscaBinaria: 315 7900
BuscaBinaria: 98 1
BuscaBinaria: 409 8000
BuscaBinaria: 81 1
BuscaBinaria: 378 8100
BuscaBinaria: 93 1
BuscaBinaria: 383 8200
BuscaBinaria: 97 1
BuscaBinaria: 387 8300
BuscaBinaria: 344 1
BuscaBinaria: 420 8400
BuscaBinaria: 103 1
BuscaBinaria: 1301 8500
BuscaBinaria: 96 1
BuscaBinaria: 417 8600
BuscaBinaria: 88 1
BuscaBinaria: 433 8700
BuscaBinaria: 104 1
BuscaBinaria: 445 8800
BuscaBinaria: 93 1
BuscaBinaria: 370 8900
BuscaBinaria: 102 1
BuscaBinaria: 375 9000
BuscaBinaria: 92 1
BuscaBinaria: 402 9100
BuscaBinaria: 100 1
BuscaBinaria: 388 9200
BuscaBinaria: 107 1
BuscaBinaria: 404 9300
BuscaBinaria: 92 1
BuscaBinaria: 387 9400
BuscaBinaria: 90 1
BuscaBinaria: 400 9500
BuscaBinaria: 92 1
BuscaBinaria: 402 9600
BuscaBinaria: 91 1
BuscaBinaria: 417 9700
BuscaBinaria: 88 1
BuscaBinaria: 414 9800
BuscaBinaria: 93 1
BuscaBinaria: 400 9900
BuscaBinaria: 91 1
BuscaBinaria: 744 10000
BuscaBinaria: 125 1
